Country or Area,Item,Year,Value
OECD members,"International tourism, number of arrivals",2018,1309830926.92998
OECD members,"International tourism, number of arrivals",2019,1342167592.88589
OECD members,"International tourism, number of arrivals",2020,
Oman,"International tourism, number of arrivals",2018,3242000
Oman,"International tourism, number of arrivals",2019,3506000
Oman,"International tourism, number of arrivals",2020,
Other small states,"International tourism, number of arrivals",2018,51524462.8351512
Other small states,"International tourism, number of arrivals",2019,51930012.4665974
Other small states,"International tourism, number of arrivals",2020,
Pakistan,"International tourism, number of arrivals",2018,
Pakistan,"International tourism, number of arrivals",2019,
Pakistan,"International tourism, number of arrivals",2020,
Panama,"International tourism, number of arrivals",2018,2487000
Panama,"International tourism, number of arrivals",2019,2494000
Panama,"International tourism, number of arrivals",2020,
Peru,"International tourism, number of arrivals",2018,5384000
Peru,"International tourism, number of arrivals",2019,5275000
Peru,"International tourism, number of arrivals",2020,
Philippines,"International tourism, number of arrivals",2018,7168000
Philippines,"International tourism, number of arrivals",2019,8261000
Philippines,"International tourism, number of arrivals",2020,
Palau,"International tourism, number of arrivals",2018,106000
Palau,"International tourism, number of arrivals",2019,94000
Palau,"International tourism, number of arrivals",2020,
Papua New Guinea,"International tourism, number of arrivals",2018,195000
Papua New Guinea,"International tourism, number of arrivals",2019,211000
Papua New Guinea,"International tourism, number of arrivals",2020,
Poland,"International tourism, number of arrivals",2018,85946000
Poland,"International tourism, number of arrivals",2019,88515000
Poland,"International tourism, number of arrivals",2020,
Pre-demographic dividend,"International tourism, number of arrivals",2018,
Pre-demographic dividend,"International tourism, number of arrivals",2019,
Pre-demographic dividend,"International tourism, number of arrivals",2020,
Puerto Rico,"International tourism, number of arrivals",2018,4260000
Puerto Rico,"International tourism, number of arrivals",2019,4931000
Puerto Rico,"International tourism, number of arrivals",2020,
"Korea, Dem. People's Rep.","International tourism, number of arrivals",2018,
"Korea, Dem. People's Rep.","International tourism, number of arrivals",2019,
"Korea, Dem. People's Rep.","International tourism, number of arrivals",2020,
Portugal,"International tourism, number of arrivals",2018,16186000
Portugal,"International tourism, number of arrivals",2019,17174000
Portugal,"International tourism, number of arrivals",2020,
Paraguay,"International tourism, number of arrivals",2018,4183000
Paraguay,"International tourism, number of arrivals",2019,4368000
Paraguay,"International tourism, number of arrivals",2020,
West Bank and Gaza,"International tourism, number of arrivals",2018,606000
West Bank and Gaza,"International tourism, number of arrivals",2019,688000
West Bank and Gaza,"International tourism, number of arrivals",2020,
Pacific island small states,"International tourism, number of arrivals",2018,1928869.84006484
Pacific island small states,"International tourism, number of arrivals",2019,1752269.77187474
Pacific island small states,"International tourism, number of arrivals",2020,
Post-demographic dividend,"International tourism, number of arrivals",2018,1257774889.54502
Post-demographic dividend,"International tourism, number of arrivals",2019,1275198369.71218
Post-demographic dividend,"International tourism, number of arrivals",2020,
French Polynesia,"International tourism, number of arrivals",2018,264000
French Polynesia,"International tourism, number of arrivals",2019,300000
French Polynesia,"International tourism, number of arrivals",2020,
Qatar,"International tourism, number of arrivals",2018,1819000
Qatar,"International tourism, number of arrivals",2019,2136500
Qatar,"International tourism, number of arrivals",2020,
Romania,"International tourism, number of arrivals",2018,11720000
Romania,"International tourism, number of arrivals",2019,12815000
Romania,"International tourism, number of arrivals",2020,
Russian Federation,"International tourism, number of arrivals",2018,24551000
Russian Federation,"International tourism, number of arrivals",2019,24419000
Russian Federation,"International tourism, number of arrivals",2020,
Rwanda,"International tourism, number of arrivals",2018,1711000
Rwanda,"International tourism, number of arrivals",2019,1634000
Rwanda,"International tourism, number of arrivals",2020,
South Asia,"International tourism, number of arrivals",2018,25882111.5392904
South Asia,"International tourism, number of arrivals",2019,26260132.181425
South Asia,"International tourism, number of arrivals",2020,
Saudi Arabia,"International tourism, number of arrivals",2018,17570000
Saudi Arabia,"International tourism, number of arrivals",2019,20292000
Saudi Arabia,"International tourism, number of arrivals",2020,
Sudan,"International tourism, number of arrivals",2018,836000
Sudan,"International tourism, number of arrivals",2019,
Sudan,"International tourism, number of arrivals",2020,
Senegal,"International tourism, number of arrivals",2018,
Senegal,"International tourism, number of arrivals",2019,
Senegal,"International tourism, number of arrivals",2020,
Singapore,"International tourism, number of arrivals",2018,18508000
Singapore,"International tourism, number of arrivals",2019,19116000
Singapore,"International tourism, number of arrivals",2020,
Solomon Islands,"International tourism, number of arrivals",2018,27899.9996185303
Solomon Islands,"International tourism, number of arrivals",2019,28899.9996185303
Solomon Islands,"International tourism, number of arrivals",2020,
Sierra Leone,"International tourism, number of arrivals",2018,66000
Sierra Leone,"International tourism, number of arrivals",2019,71000
Sierra Leone,"International tourism, number of arrivals",2020,
El Salvador,"International tourism, number of arrivals",2018,2536000
El Salvador,"International tourism, number of arrivals",2019,2639000
El Salvador,"International tourism, number of arrivals",2020,
San Marino,"International tourism, number of arrivals",2018,1874000
San Marino,"International tourism, number of arrivals",2019,1904000
San Marino,"International tourism, number of arrivals",2020,
Somalia,"International tourism, number of arrivals",2018,
Somalia,"International tourism, number of arrivals",2019,
Somalia,"International tourism, number of arrivals",2020,
Serbia,"International tourism, number of arrivals",2018,1711000
Serbia,"International tourism, number of arrivals",2019,1847000
Serbia,"International tourism, number of arrivals",2020,
Sub-Saharan Africa (excluding high income),"International tourism, number of arrivals",2018,55594466.0596434
Sub-Saharan Africa (excluding high income),"International tourism, number of arrivals",2019,54779421.168165
Sub-Saharan Africa (excluding high income),"International tourism, number of arrivals",2020,
South Sudan,"International tourism, number of arrivals",2018,
South Sudan,"International tourism, number of arrivals",2019,
South Sudan,"International tourism, number of arrivals",2020,
Sub-Saharan Africa,"International tourism, number of arrivals",2018,56031020.8315172
Sub-Saharan Africa,"International tourism, number of arrivals",2019,55251253.9050801
Sub-Saharan Africa,"International tourism, number of arrivals",2020,
Small states,"International tourism, number of arrivals",2018,73804828.3003258
Small states,"International tourism, number of arrivals",2019,74170634.245252
Small states,"International tourism, number of arrivals",2020,
Sao Tome and Principe,"International tourism, number of arrivals",2018,33400.0015258789
Sao Tome and Principe,"International tourism, number of arrivals",2019,
Sao Tome and Principe,"International tourism, number of arrivals",2020,
Suriname,"International tourism, number of arrivals",2018,
Suriname,"International tourism, number of arrivals",2019,
Suriname,"International tourism, number of arrivals",2020,
